,Time,Treat
653,3,placebo
654,3,placebo
655,3,placebo
656,3,placebo
657,3,placebo
658,3,placebo
659,3,placebo
660,3,placebo
661,3,placebo
662,3,placebo
663,3,placebo
664,3,placebo
665,3,placebo
666,3,placebo
667,3,placebo
668,3,placebo
669,3,placebo
670,3,placebo
671,3,placebo
672,3,placebo
673,3,placebo
674,3,placebo
675,3,placebo
676,3,placebo
677,3,placebo
678,3,placebo
679,3,placebo
680,3,placebo
681,3,placebo
682,3,placebo
683,3,placebo
684,3,placebo
686,4,placebo
687,4,placebo
688,4,placebo
689,4,placebo
690,4,placebo
691,4,placebo
692,4,placebo
693,4,placebo
694,4,placebo
695,4,placebo
696,4,placebo
697,4,placebo
698,4,placebo
699,4,placebo
700,4,placebo
701,4,placebo
702,4,placebo
703,4,placebo
704,4,placebo
705,4,placebo
706,4,placebo
707,4,placebo
708,4,placebo
709,4,placebo
710,4,placebo
711,4,placebo
712,4,placebo
713,4,placebo
714,4,placebo
715,4,placebo
716,4,placebo
717,4,placebo
718,4,placebo
719,4,placebo
720,4,placebo
721,4,placebo
722,4,placebo
723,4,placebo
724,4,placebo
725,4,placebo
726,4,placebo
727,4,placebo
728,4,placebo
729,4,placebo
730,4,placebo
731,4,placebo
732,4,placebo
733,4,placebo
734,4,placebo
735,4,placebo
737,4,placebo
738,4,placebo
739,4,placebo
740,4,placebo
741,4,placebo
742,4,placebo
743,4,placebo
744,4,placebo
745,4,placebo
746,4,placebo
747,4,placebo
748,4,placebo
749,4,placebo
750,4,placebo
751,4,placebo
752,4,placebo
753,4,placebo
754,4,placebo
755,4,placebo
756,4,placebo
757,4,placebo
758,4,placebo
759,4,placebo
760,4,placebo
761,4,placebo
762,4,placebo
763,4,placebo
764,4,placebo
765,4,placebo
767,4,placebo
768,4,placebo
769,4,placebo
770,4,placebo
771,4,placebo
772,4,placebo
773,4,placebo
774,4,placebo
775,4,placebo
776,4,placebo
777,4,placebo
778,4,placebo
779,4,placebo
780,4,placebo
781,4,placebo
782,4,placebo
783,4,placebo
784,4,placebo
785,4,placebo
786,4,placebo
787,4,placebo
788,4,placebo
789,4,placebo
790,4,placebo
792,4,placebo
793,4,placebo
794,4,placebo
795,4,placebo
796,4,placebo
797,4,placebo
798,4,placebo
799,4,placebo
800,4,placebo
801,4,placebo
802,4,placebo
804,4,placebo
805,4,placebo
806,4,placebo
807,4,placebo
808,4,placebo
809,4,placebo
810,4,placebo
811,4,placebo
812,4,placebo
813,4,placebo
814,4,placebo
815,4,placebo
816,4,placebo
817,4,placebo
818,4,placebo
819,4,placebo
820,4,placebo
821,4,placebo
822,4,placebo
823,4,placebo
824,4,placebo
825,4,placebo
